unidade,asunto,tipo,adxudicatario,importe,num_licitadores,fin_contrato,data
NORMALIZACIÓN LINGÜÍSTICA,"'Realización de 2 contadas da obra 'paxariños', dirixidas a xente miúda e familias, que se van realizar no mes de decembro en espazos municipais.'",Servizo,PERNAS LAZARO DAVID,700.0,1,2021/00/31,2021/00/30
NORMALIZACIÓN LINGÜÍSTICA,'4 contadas musicadas (son do berce) dirixidas a picariñas. estas contadas musicadas desenvolveranse en espazo(s) municipal (municipais) en nadal e van dirixidas a bebés.',Servizo,COLLAZO GOMEZ CRISTINA,1210.0,1,2021/00/31,2021/00/30
NORMALIZACIÓN LINGÜÍSTICA,"'Realización de 3  xornadas de xogos en lingua galega, dirixidas a xente miúda e familias, que se van realizar no nadal en espazos municipais, no mes de decembro.'",Servizo,FERNANDEZ ALVAREZ IRIMIA,1155.0,1,2021/00/31,2021/00/30
NORMALIZACIÓN LINGÜÍSTICA,"'Realización de 3 contadas (2 de animais artistas e outras cousiñas e 1 de contos na lareira) en lingua galega, dirixidas a cativas ás súas familias no mes de decembro'",Servizo,DAVILA GRANDE IVAN,650.0,1,2021/00/31,2021/00/03
NORMALIZACIÓN LINGÜÍSTICA,"'Realización de 3 contadas (o país da choiva) en lingua galega, dirixidas a cativas e ás súas familias para o mes de decembro'",Servizo,ALONSO DIZ MIGUEL ANGEL,525.0,1,2021/00/31,2021/00/07
NORMALIZACIÓN LINGÜÍSTICA,"'Realización de 4 obradoiros de 'imos cantar o nadal', 3 xornadas da ludoteca itinerante 'eira xandobeleira' e 1 obradoiro de 'somos xogo.gal', en lingua galega, dirixidas a cativas e ás súas familias nas datas de nadal (3 días de intervención), nas",Servizo,ANTAXURADA S L,2745.76,1,2021/00/31,2021/00/16
NORMALIZACIÓN LINGÜÍSTICA,"'Realización de 6 actividades dinamizadoras da lingua galega: 2 contadas de 'Antón e O Apalpador' (contada tradicional do Nadal de galicia) e 4 'O son da batea' (ritmos arredados do noso país: reguetón, bosanova, hip-hop, country... en lingua galega)",Servizo,BARAFUNDA SL,3085.5,1,2021/00/30,2021/00/15
NORMALIZACIÓN LINGÜÍSTICA,"'Impartición de 2 charlas  (6 horas de formación e 4 de creación de contidos e material para a actividade formativa)  sobre a narración oral en lingua de signos, dirixida a alumnado do ciov. actividade que se realizará no verbum no mes de decembro.'",Servizo,GONZALEZ NOVELLE RAQUEL,360.0,0,2021/00/23,2021/00/10
NORMALIZACIÓN LINGÜÍSTICA,'Realización de 5 actividades de dinamización infantís e para bebés (3 de 'prende no colo' e 2 de 'cantos e contos'). estas desenvolveranse en espazo(s) municipal (municipais) en nadal',Servizo,PREGO FERNANDEZ LUIS,1250.0,0,2021/00/30,2021/00/11
NORMALIZACIÓN LINGÜÍSTICA,"'Redeseño e adaptación de sitio web da cnl (snl.vigo.org) para acondicionalo ás novas necesidades (acceso á información segundo o tipo de público, reorganización de contidos, novo formato a seccións...)'",Servizo,DESOÑOS S L,1258.4,0,2021/00/30,2021/00/09
NORMALIZACIÓN LINGÜÍSTICA,"'4 sesións de xincana científica (cada unha delas conta con termo medio 5 experiencias e 3 horas de duración), 3 xornadas de obradoiros científicos (2 horas) e 1 charla sobre ciberseguridade, así como todo o material preciso para realizar as experien",Servizo,CEO ABERTO SL,8022.3,2,2021/00/30,2021/00/14
NORMALIZACIÓN LINGÜÍSTICA,"'Contrato menor de servizos para a maquetación e edición en formato papel e libro electrónico do volume núm. 8 da colección 'toponimia do val de fragoso', correspondente á parroquia de valadares'",Servizo,TORCULO COMUNICACION GRAFICA S A,5778.24,0,2021/00/31,2021/00/17
NORMALIZACIÓN LINGÜÍSTICA,'Contrato menor subministración publicidade cnl',Subministro,ALMA MATER SL,1839.2,0,2021/00/30,2021/00/17
NORMALIZACIÓN LINGÜÍSTICA,"'Realización de 15 sesións didácticas 'Dálle a lingua' de regueifa para xente moza, de 60 minutos de duración en decembro de 2021 e xaneiro de 2022'",Servizo,ASOCIACION (ORALIDADE) RIMA ARTE E LINGUA DE GALICIA,1312.1,1,2022/00/31,2021/00/22
ANIMACIÓN SOCIOCULTURAL E FESTAS,PLAN AUTOPROTECCIÓN E COORDINACIÓN PRL CABALGATA DE REIS 2021,Servizo,MURCIEGO DELGADO PEDRO,1210.0,3,2021/00/06,2020/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,SISTEMA CITA PREVIA PÚBLICO CABALGATA DE REIS 2021,Servizo,GESTION Y SERVICIOS PARA ESPECTACULOS Y EVENTOS SL,2904.0,3,2021/00/06,2020/00/23
ANIMACIÓN SOCIOCULTURAL E FESTAS,ANIMACIÓNS CASTREXOS E EXITPO - CABALGATA DE REIS 2021,Servizo,KOREMI REHABILITACION SL,16268.45,1,2021/00/06,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,ANIMACIÓN A LUZ DA LÚA - CABALGATA DE REIS 2021,Servizo,ESPECIALISTAS HÍPICA CELTA S L L,12705.0,1,2021/00/06,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,Contratación da animación 'Asia Imperial' para a Cabalgata de Reis 2021,Servizo,LA FIESTA ESCENICA S L,9922.0,1,2021/00/04,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,CONTRATACIÓN DA ANIMACIÓN 'CRIATURAS MITOLÓXICAS' PARA A CABALGATA DE REIS 2021,Servizo,IMAXINERIA S L,4235.0,1,2021/00/05,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación das animacións 'Osos Panda' e 'Máscaras Rituais' para a Cabalgata de Reis 2021,Servizo,BARAFUNDA SL,17000.5,1,2021/00/05,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,"ANIMACIÓNS CIVILIZACIÓN MAIA, CIVILIZACIÓN ORIENTAL, HOME DAS CAVERNAS, EXIPTO E CIVILIZACIÓN HINDÚ - CABALGATA DE REIS 2021",Servizo,"BIGLAB, S.L.",8712.0,1,2021/00/06,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,ANIMACIÓN VIKINGA - CABALGATA DE REIS 2021,Servizo,RIVEL ANIMACION S L,4767.4,1,2021/00/06,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,ANIMACIÓN CIVILIZACIÓN INDIA - CABALGATA DE REIS 2021,Servizo,FUNDACION IGUAL ARTE,3500.0,1,2021/00/06,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,ANIMACIÓN ROANOS - CABALGATA DE REIS 2021,Servizo,VIGO MULTIMEDIA S L U,9075.0,1,2021/00/06,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,contratación das animacións 'Pelotóns xigantes' e 'a Invasión das Abellas' para o programa Cabalgata de Reis 2021,Servizo,SANLES MIGUEZ XIADA,3702.6,1,2021/00/05,2021/00/04
ANIMACIÓN SOCIOCULTURAL E FESTAS,Contratación da animación 'Kanbahiota: Nómadas' para a Cabalgata de Reis 2021,Servizo,CULTURACTIVA SOCIEDADE COOP GALEGA,5445.0,1,2021/00/05,2021/00/04
