Pa?s de nacionalidad;Mes;Total
Total de defunciones;Enero;52.147
Total de defunciones;Febrero;40.542
Total de defunciones;Marzo;36.864
Total de defunciones;Abril;34.494
Total de defunciones;Mayo;34.200
Total de defunciones;Junio;32.376
Total de defunciones;Julio;35.300
Total de defunciones;Agosto;38.126
Total de defunciones;Septiembre;32.803
Total de defunciones;Octubre;34.516
Total de defunciones;Noviembre;36.968
Total de defunciones;Diciembre;42.351
Total de defunciones;Total;450.687
PA?SES DE EUROPA;Enero;51.616
PA?SES DE EUROPA;Febrero;40.133
PA?SES DE EUROPA;Marzo;36.424
PA?SES DE EUROPA;Abril;34.124
PA?SES DE EUROPA;Mayo;33.792
PA?SES DE EUROPA;Junio;31.998
PA?SES DE EUROPA;Julio;34.901
PA?SES DE EUROPA;Agosto;37.638
PA?SES DE EUROPA;Septiembre;32.392
PA?SES DE EUROPA;Octubre;34.119
PA?SES DE EUROPA;Noviembre;36.568
PA?SES DE EUROPA;Diciembre;41.890
PA?SES DE EUROPA;Total;445.595
Alemania;Enero;194
Alemania;Febrero;128
Alemania;Marzo;134
Alemania;Abril;131
Alemania;Mayo;120
Alemania;Junio;125
Alemania;Julio;141
Alemania;Agosto;167
Alemania;Septiembre;152
Alemania;Octubre;147
Alemania;Noviembre;158
Alemania;Diciembre;177
Alemania;Total;1.774
Austria;Enero;5
Austria;Febrero;5
Austria;Marzo;4
Austria;Abril;7
Austria;Mayo;5
Austria;Junio;6
Austria;Julio;5
Austria;Agosto;9
Austria;Septiembre;4
Austria;Octubre;5
Austria;Noviembre;7
Austria;Diciembre;8
Austria;Total;70
B?lgica;Enero;45
B?lgica;Febrero;41
B?lgica;Marzo;28
B?lgica;Abril;23
B?lgica;Mayo;37
B?lgica;Junio;40
B?lgica;Julio;37
B?lgica;Agosto;40
B?lgica;Septiembre;24
B?lgica;Octubre;42
B?lgica;Noviembre;51
B?lgica;Diciembre;55
B?lgica;Total;463
Bulgaria;Enero;33
Bulgaria;Febrero;23
Bulgaria;Marzo;20
Bulgaria;Abril;25
Bulgaria;Mayo;34
Bulgaria;Junio;22
Bulgaria;Julio;21
Bulgaria;Agosto;29
Bulgaria;Septiembre;23
Bulgaria;Octubre;34
Bulgaria;Noviembre;25
Bulgaria;Diciembre;40
Bulgaria;Total;329
Dinamarca;Enero;8
Dinamarca;Febrero;9
Dinamarca;Marzo;4
Dinamarca;Abril;3
Dinamarca;Mayo;4
Dinamarca;Junio;10
Dinamarca;Julio;14
Dinamarca;Agosto;10
Dinamarca;Septiembre;14
Dinamarca;Octubre;11
Dinamarca;Noviembre;14
Dinamarca;Diciembre;11
Dinamarca;Total;112
Espa?a;Enero;50.386
Espa?a;Febrero;39.219
Espa?a;Marzo;35.530
Espa?a;Abril;33.302
Espa?a;Mayo;32.897
Espa?a;Junio;31.118
Espa?a;Julio;33.894
Espa?a;Agosto;36.519
Espa?a;Septiembre;31.415
Espa?a;Octubre;33.101
Espa?a;Noviembre;35.484
Espa?a;Diciembre;40.699
Espa?a;Total;433.564
Finlandia;Enero;12
Finlandia;Febrero;12
Finlandia;Marzo;9
Finlandia;Abril;7
Finlandia;Mayo;11
Finlandia;Junio;5
Finlandia;Julio;7
Finlandia;Agosto;7
Finlandia;Septiembre;8
Finlandia;Octubre;10
Finlandia;Noviembre;13
Finlandia;Diciembre;11
Finlandia;Total;112
Francia;Enero;70
Francia;Febrero;60
Francia;Marzo;58
Francia;Abril;39
Francia;Mayo;74
Francia;Junio;60
Francia;Julio;80
Francia;Agosto;93
Francia;Septiembre;66
Francia;Octubre;85
Francia;Noviembre;75
Francia;Diciembre;81
Francia;Total;841
Italia;Enero;103
Italia;Febrero;71
Italia;Marzo;71
Italia;Abril;58
Italia;Mayo;70
Italia;Junio;50
Italia;Julio;64
Italia;Agosto;98
Italia;Septiembre;65
Italia;Octubre;55
Italia;Noviembre;81
Italia;Diciembre;82
Italia;Total;868
Irlanda;Enero;15
Irlanda;Febrero;10
Irlanda;Marzo;14
Irlanda;Abril;6
Irlanda;Mayo;11
Irlanda;Junio;9
Irlanda;Julio;16
Irlanda;Agosto;17
Irlanda;Septiembre;13
Irlanda;Octubre;16
Irlanda;Noviembre;15
Irlanda;Diciembre;16
Irlanda;Total;158
Lituania;Enero;3
Lituania;Febrero;5
Lituania;Marzo;6
Lituania;Abril;7
Lituania;Mayo;3
Lituania;Junio;11
Lituania;Julio;3
Lituania;Agosto;12
Lituania;Septiembre;7
Lituania;Octubre;2
Lituania;Noviembre;4
Lituania;Diciembre;7
Lituania;Total;70
Noruega;Enero;22
Noruega;Febrero;11
Noruega;Marzo;13
Noruega;Abril;12
Noruega;Mayo;16
Noruega;Junio;10
Noruega;Julio;15
Noruega;Agosto;9
Noruega;Septiembre;13
Noruega;Octubre;20
Noruega;Noviembre;18
Noruega;Diciembre;13
Noruega;Total;172
Pa?ses Bajos;Enero;55
Pa?ses Bajos;Febrero;46
Pa?ses Bajos;Marzo;32
Pa?ses Bajos;Abril;30
Pa?ses Bajos;Mayo;36
Pa?ses Bajos;Junio;33
Pa?ses Bajos;Julio;38
Pa?ses Bajos;Agosto;42
Pa?ses Bajos;Septiembre;56
Pa?ses Bajos;Octubre;48
Pa?ses Bajos;Noviembre;56
Pa?ses Bajos;Diciembre;58
Pa?ses Bajos;Total;530
Polonia;Enero;9
Polonia;Febrero;13
Polonia;Marzo;10
Polonia;Abril;13
Polonia;Mayo;12
Polonia;Junio;13
Polonia;Julio;13
Polonia;Agosto;12
Polonia;Septiembre;19
Polonia;Octubre;7
Polonia;Noviembre;13
Polonia;Diciembre;19
Polonia;Total;153
Portugal;Enero;57
Portugal;Febrero;40
Portugal;Marzo;29
Portugal;Abril;35
Portugal;Mayo;26
Portugal;Junio;30
Portugal;Julio;35
Portugal;Agosto;44
Portugal;Septiembre;31
Portugal;Octubre;27
Portugal;Noviembre;42
Portugal;Diciembre;34
Portugal;Total;430
Reino Unido;Enero;370
Reino Unido;Febrero;268
Reino Unido;Marzo;282
Reino Unido;Abril;234
Reino Unido;Mayo;249
Reino Unido;Junio;256
Reino Unido;Julio;310
Reino Unido;Agosto;295
Reino Unido;Septiembre;273
Reino Unido;Octubre;323
Reino Unido;Noviembre;305
Reino Unido;Diciembre;349
Reino Unido;Total;3.514
Ruman?a;Enero;114
Ruman?a;Febrero;88
Ruman?a;Marzo;79
Ruman?a;Abril;101
Ruman?a;Mayo;81
Ruman?a;Junio;93
Ruman?a;Julio;85
Ruman?a;Agosto;122
Ruman?a;Septiembre;97
Ruman?a;Octubre;94
Ruman?a;Noviembre;98
Ruman?a;Diciembre;113
Ruman?a;Total;1.165
Rusia;Enero;21
Rusia;Febrero;14
Rusia;Marzo;15
Rusia;Abril;15
Rusia;Mayo;11
Rusia;Junio;15
Rusia;Julio;28
Rusia;Agosto;20
Rusia;Septiembre;24
Rusia;Octubre;17
Rusia;Noviembre;9
Rusia;Diciembre;18
Rusia;Total;207
Suecia;Enero;17
Suecia;Febrero;13
Suecia;Marzo;7
Suecia;Abril;15
Suecia;Mayo;16
Suecia;Junio;8
Suecia;Julio;12
Suecia;Agosto;9
Suecia;Septiembre;17
Suecia;Octubre;10
Suecia;Noviembre;15
Suecia;Diciembre;16
Suecia;Total;155
Suiza;Enero;27
Suiza;Febrero;23
Suiza;Marzo;21
Suiza;Abril;18
Suiza;Mayo;26
Suiza;Junio;30
Suiza;Julio;35
Suiza;Agosto;26
